City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Saint-Pierre,RE,-21.3393,55.4781,70.92,83,0,4.61,clear sky
269,Ola,RU,59.5833,151.2833,18.66,65,100,13.98,overcast clouds
270,Balint,RO,45.8125,21.8536,55.26,76,83,4.68,broken clouds
271,Kununurra,AU,-15.7667,128.7333,88.21,41,18,2.51,few clouds
272,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,14.97,light intensity drizzle
273,Asfi,MA,32.2994,-9.2372,68.23,79,5,4.47,clear sky
274,Campo Gobierno,MX,24.6536,-107.5411,92.71,64,43,11.59,scattered clouds
275,Churapcha,RU,62.0025,132.4325,12.97,97,98,5.1,overcast clouds
276,Plouzane,FR,48.3833,-4.6167,57.52,91,100,21.85,overcast clouds
277,Camana,PE,-16.6228,-72.7111,66.63,72,43,9.15,scattered clouds
278,Oussouye,SN,12.485,-16.5469,78.98,80,99,3.91,overcast clouds
279,Kang,BW,-23.6752,22.7876,77.61,35,60,5.08,broken clouds
280,Atar,MR,20.5169,-13.0499,88.88,12,0,5.3,clear sky
281,Barra Do Garcas,BR,-15.89,-52.2567,93.78,40,75,4.61,broken clouds
282,Yar-Sale,RU,66.8333,70.8333,28.96,95,100,8.43,overcast clouds
283,Kavieng,PG,-2.5744,150.7967,81.52,69,74,3.8,broken clouds
284,Salamiyah,SY,35.0113,37.0532,66.83,60,1,4.63,clear sky
285,Leningradskiy,RU,69.3833,178.4167,20.57,94,99,10.78,overcast clouds
286,Puerto Padre,CU,21.195,-76.6028,80.85,78,29,9.6,scattered clouds
287,Libreville,GA,0.3925,9.4537,77.11,90,100,4.94,light rain
288,Visnes,NO,59.3556,5.2242,53.98,87,0,6.91,clear sky
289,Maragogi,BR,-9.0122,-35.2225,77.56,82,99,11.39,overcast clouds
290,Puerto Colombia,CO,10.9878,-74.9547,86.09,78,99,6.04,light rain
291,Bubaque,GW,11.2833,-15.8333,83.19,72,100,4.7,overcast clouds
292,Xining,CN,36.6167,101.7667,45.77,69,100,0.76,overcast clouds
293,Rawson,AR,-43.3002,-65.1023,77.67,16,49,10.45,scattered clouds
294,Inta,RU,66.0317,60.1659,33.28,96,100,15.52,overcast clouds
295,Lumeje,AO,-11.55,20.7833,71.2,73,35,2.82,light rain
296,Isangel,VU,-19.55,169.2667,75.31,78,100,13.8,light rain
297,Samarai,PG,-10.6167,150.6667,80.78,76,28,4.88,scattered clouds
298,Waingapu,ID,-9.6567,120.2641,80.22,82,93,4.25,overcast clouds
299,Dimitrovgrad,RU,54.2139,49.6184,39.47,73,55,9.84,broken clouds
300,Shingu,JP,33.7333,135.9833,56.93,80,90,6.58,overcast clouds
301,Riyadh,SA,24.6877,46.7219,78.94,17,0,5.03,clear sky
302,Placido De Castro,BR,-10.3353,-67.1856,81.45,77,95,4.83,overcast clouds
303,Omsukchan,RU,62.5333,155.8,-11.7,100,92,2.77,overcast clouds
304,Nouadhibou,MR,20.931,-17.0347,69.78,88,60,16.11,broken clouds
305,Bakonycsernye,HU,47.324,18.0751,54.61,93,49,4.54,scattered clouds
306,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,31,1.99,scattered clouds
307,Tombouctou,ML,20.0,-3.0,82.08,13,100,10.04,overcast clouds
308,Kerema,PG,-7.9631,145.7785,78.37,80,18,3.31,few clouds
309,Andenes,NO,69.3143,16.1194,39.18,52,75,12.66,broken clouds
310,Akyab,MM,20.15,92.9,80.92,81,100,19.8,moderate rain
